aqi,so2,no2,co,o3,pm10,pm2_5,temp,humi,w_dir,wind,rain
23,8,12,0.6,67,23,16,1,83,0,3,0
23,8,12,0.6,64,23,16,1,83,45,3,0
23,8,14,0.6,62,22,16,1,82,0,3,0
26,8,15,0.6,59,24,18,1,81,0,2,0
28,9,15,0.6,57,25,19,1,79,0,2,0
25,11,17,0.6,55,25,15,1,79,45,3,0
29,13,18,0.6,56,29,19,1,75,0,2,0
36,13,16,0.6,62,36,22,2,71,45,2,0
34,14,15,0.6,65,34,23,2,69,0,2,0
39,15,17,0.6,63,39,23,3,67,0,2,0
49,15,20,0.7,55,49,31,2,77,225,2,0
53,14,22,0.7,50,53,37,1,82,0,3,0
46,14,23,0.7,43,44,32,2,75,0,2,0
45,14,23,0.7,39,45,29,1,79,0,2,0
36,14,19,0.6,43,36,22,1,77,225,2,0
27,14,19,0.7,42,27,18,1,80,225,2,0
27,16,20,0.6,39,27,17,1,79,225,1,0
26,17,24,0.7,35,26,18,1,80,225,1,0
31,17,24,0.7,34,31,19,1,80,45,1,0
33,18,25,0.7,32,33,19,1,80,45,2,0
38,18,26,0.8,28,38,22,1,82,90,1,0
41,15,26,0.8,24,41,26,0,84,45,1,0
41,15,28,0.8,17,41,26,0,87,125,1,0
44,16,29,0.8,14,44,25,-1,90,45,1,0
45,16,29,0.8,12,45,27,-1,92,0,0,0
47,16,30,0.8,10,47,30,-1,93,0,0,0
46,19,32,0.9,7,46,30,-2,94,0,0,0
50,28,30,1.1,9,50,31,-1,93,0,0,0
56,38,34,1.2,14,62,34,1,84,225,1,0
63,45,43,1.2,20,75,43,4,70,225,2,0
74,50,49,1.3,30,90,54,7,50,225,2,0
78,40,50,1.1,44,99,57,9,37,315,1,0
68,29,43,0.8,63,85,48,12,33,225,1,0
59,27,36,0.6,72,67,33,14,26,180,2,0
57,24,32,0.6,80,64,31,14,24,315,2,0
56,20,29,0.5,82,62,30,14,26,180,2,0
102,88,65,1.7,15,153,74,5,53,125,1,0
104,81,63,1.5,11,158,78,5,54,125,1,0
102,72,59,1.3,11,154,75,3,71,125,1,0
92,62,55,1.3,12,133,68,3,70,180,1,0
89,59,52,1.2,12,126,66,3,65,180,1,0
85,54,49,1.2,13,120,62,3,63,125,1,0
80,53,47,1.2,14,107,59,3,64,125,2,0
80,50,46,1.2,14,102,59,3,63,180,2,0
80,46,46,1.2,16,109,59,2,64,180,2,0
82,37,50,1,21,114,57,4,58,180,2,0
68,33,49,0.9,28,83,49,5,53,180,3,0
63,34,40,0.7,45,76,38,7,47,180,4,0
60,21,24,0.5,67,69,31,10,38,125,3,0
59,17,19,0.5,78,67,24,11,34,180,4,0
59,15,17,0.6,86,67,22,13,35,180,4,0
58,15,18,0.6,93,65,25,15,35,180,3,0
55,15,20,0.7,94,60,26,15,36,180,3,0
56,15,21,0.7,97,61,26,15,38,125,3,0
57,15,21,0.7,95,64,28,14,42,125,3,0
57,16,25,0.7,89,63,30,13,47,125,2,0
57,22,33,0.8,76,64,31,12,52,180,2,0
58,30,43,0.9,62,65,35,11,53,125,2,0
63,41,54,1.1,46,75,44,10,55,180,2,0
68,55,58,1.1,39,86,44,10,59,180,2,0
74,46,65,1.2,29,98,52,9,62,180,2,0
72,58,58,1.2,35,94,50,9,64,180,2,0
71,52,54,1.1,41,92,49,8,66,125,2,0
72,52,57,1,57,93,48,8,67,125,2,0
67,46,56,1.1,32,84,48,7,70,180,2,0
73,41,52,1.1,34,95,50,6,72,180,2,0
69,31,42,0.9,49,87,50,6,72,180,1,0
65,22,36,0.8,59,77,47,6,73,125,1,0
62,28,40,0.9,55,74,44,6,72,125,1,0
69,25,50,0.9,46,77,50,7,72,0,0,0
67,28,51,1,47,83,48,7,72,0,0,0
73,41,59,1.2,40,90,53,8,72,0,1,0
87,39,57,1.1,53,109,64,8,71,125,1,0
89,29,49,1,71,112,66,9,70,180,2,0
88,30,41,0.9,85,107,65,9,68,180,2,0
90,28,40,1,88,111,67,10,68,315,2,0
98,30,42,1,79,116,73,11,66,0,0,0
98,31,50,1.1,72,118,73,10,68,90,1,0
107,33,61,1.1,57,128,80,10,68,0,2,0
118,29,52,1.1,46,144,89,9,70,0,2,0
130,29,45,1.1,39,150,99,9,72,0,2,0
139,27,46,1.1,27,153,106,8,76,225,2,0
155,26,47,1.2,17,166,118,7,78,225,1,0
166,25,44,1.1,16,177,126,7,79,225,1,0
159,22,37,1.1,21,170,121,6,81,225,2,0
150,16,32,1.2,24,153,115,6,88,225,2,0.1
147,12,25,1.1,30,142,112,5,90,0,2,0
93,12,22,0.9,37,88,69,5,96,225,1,0
67,11,21,0.9,39,61,48,5,97,225,1,0.2
48,11,20,0.9,41,47,33,5,97,0,1,0.2
38,11,19,0.8,42,35,26,5,97,0,2,0.1
32,10,20,0.8,45,32,22,5,97,225,1,0.3
33,12,26,0.9,37,30,23,5,96,45,2,0.1
35,12,28,0.8,41,34,24,5,96,45,2,0
46,14,29,0.8,47,43,32,5,95,0,1,0
59,17,29,0.9,52,57,42,5,90,45,2,0
64,19,29,0.8,58,68,46,6,82,45,2,0
68,20,27,0.8,65,74,49,7,77,45,1,0
70,20,26,0.8,68,78,51,7,76,225,1,0
70,18,29,0.7,63,81,51,7,74,45,1,0
73,20,34,0.8,55,83,53,7,76,45,1,0
79,22,41,0.8,44,92,58,7,76,45,2,0
88,22,39,0.8,47,102,65,7,76,0,2,0
93,22,39,0.8,41,103,69,7,77,0,2,0
94,24,38,0.8,42,102,70,7,77,0,2,0
92,24,34,0.8,42,97,68,7,78,45,2,0
90,20,31,0.8,41,92,67,6,82,0,2,0
95,19,32,0.8,37,97,71,6,84,0,2,0
97,20,32,0.8,35,97,72,6,85,45,1,0
94,15,32,0.8,31,95,70,5,90,270,1,0.6
93,13,30,0.8,31,87,69,5,94,0,1,1.1
90,12,29,0.8,33,83,67,5,92,45,1,0
89,12,27,0.9,34,80,66,5,91,90,1,0
84,11,24,0.9,37,76,62,5,92,45,1,0.2
82,12,25,0.9,35,72,60,5,93,315,1,0
83,12,27,1,29,73,61,5,91,225,1,0
80,14,34,1,18,74,59,5,93,270,1,0
80,16,36,1,15,74,59,5,92,225,1,0
83,25,40,1.1,16,77,61,7,89,225,1,0
94,33,42,1.2,24,89,70,8,80,90,1,0
97,34,42,1.1,37,89,72,10,67,0,2,0
85,27,35,0.8,60,86,63,11,62,0,1,0
73,20,28,0.7,78,79,53,13,52,225,1,0
65,18,27,0.7,87,73,47,14,49,315,1,0
64,20,28,0.7,93,71,46,14,46,225,2,0
65,22,31,0.7,92,75,47,15,43,0,0,0
68,23,37,0.7,85,75,49,13,54,125,1,0
69,41,65,1.2,44,80,50,11,60,125,1,0
85,59,73,1.6,23,110,63,10,67,0,0,0
104,61,71,1.6,17,136,78,8,78,0,0,0
110,48,64,1.6,14,152,83,7,85,90,1,0
109,49,60,1.6,12,148,82,7,85,0,1,0
115,40,56,1.4,11,153,87,6,90,0,0,0
109,37,50,1.4,12,144,82,5,93,0,0,0
108,28,44,1.3,11,142,81,5,93,0,0,0
102,24,41,1.3,11,126,76,4,94,0,0,0
99,21,38,1.2,9,120,74,4,95,125,1,0
95,20,38,1.2,7,111,71,3,95,125,1,0
93,21,37,1.2,6,111,69,2,98,125,1,0
94,21,36,1.3,5,107,70,2,99,125,1,0
93,19,34,1.3,8,104,69,2,99,90,1,0
94,23,34,1.3,11,98,70,3,99,0,0,0
100,29,39,1.4,11,106,75,5,99,180,2,0
102,27,45,1.2,13,113,76,6,94,180,2,0
